secid,description,founded,headquarters,employees,sector,ceo,link
MFGS,"ПАО «Славнефть-Мегионнефтегаз» — ключевое добывающее предприятие нефтяной группы «Славнефть», специализирующееся на разработке месторождений в Ханты-Мансийском автономном округе. Компания ведёт добычу на Мегионском, Ватинском и других месторождениях, обладающих извлекаемыми запасами нефти свыше 1 млрд тонн. Предприятие применяет современные технологии интенсификации добычи, включая гидроразрыв пласта и методы увеличения нефтеотдачи. Входит в структуру «Газпром нефти» и «НК «Роснефть», что обеспечивает доступ к ресурсной базе и технологиям. В последние годы компания активно внедряет цифровые решения для контроля добычи и снижения экологической нагрузки, включая систему интеллектуального месторождения. Добыча компании составляет около 10% от общего объёма добычи «Славнефти». Предприятие играет важную роль в обеспечении сырьевой безопасности России и является градообразующим для Мегиона.",1964,"Мегион, Россия","3,100+",Нефтегазовый сектор / Добыча нефти,Баринов Александр,https://www.slavneft.ru
MFGSP,"ПАО «Славнефть-Мегионнефтегаз» (прив. акции) — ключевое добывающее предприятие нефтяной группы «Славнефть», специализирующееся на разработке месторождений в Ханты-Мансийском автономном округе. Компания ведёт добычу на Мегионском, Ватинском и других месторождениях, обладающих извлекаемыми запасами нефти свыше 1 млрд тонн. Предприятие применяет современные технологии интенсификации добычи, включая гидроразрыв пласта и методы увеличения нефтеотдачи. Входит в структуру «Газпром нефти» и «НК «Роснефть», что обеспечивает доступ к ресурсной базе и технологиям. В последние годы компания активно внедряет цифровые решения для контроля добычи и снижения экологической нагрузки, включая систему интеллектуального месторождения. Добыча компании составляет около 10% от общего объёма добычи «Славнефти». Предприятие играет важную роль в обеспечении сырьевой безопасности России и является градообразующим для Мегиона.",1964,"Мегион, Россия","3,100+",Нефтегазовый сектор / Добыча нефти,Баринов Александр,https://www.slavneft.ru
MGKL,"Мосгорломбард — старейшая и одна из наиболее авторитетных ломбардных сетей России с богатой историей, ведущей начало с прошлого века. Компания сочетает традиционные принципы ломбардного бизнеса с современными технологическими решениями, включая внедрение блокчейн для повышения прозрачности операций. Основные направления деятельности: выдача займов под залог ювелирных изделий (золото, серебро, драгоценные камни), меховых изделий, электроники и техники; скупка драгоценных металлов; сезонное хранение меха; реализация невыкупленных товаров. Компания отличается индивидуальным подходом к клиентам, предлагая одни из самых выгодных условий на рынке (до 80% от рыночной стоимости залога). Особое внимание уделяется безопасности: все залоги хранятся в специализированном хранилище с ограниченным доступом. В последние годы компания активно цифровизирует услуги, развивая онлайн-оценку и электронный документооборот, сохраняя при этом сеть офлайн-отделений в Москве.",1924,"Москва, Россия",7+,Финансовые услуги / Ломбардная деятельность,Алексей Лазутин,https://mosgorlombard.ru
MGNT,"ПАО «Магнит» — одна из крупнейших розничных сетей России, занимающая лидирующие позиции в сегменте продуктового ритейла. Компания управляет несколькими форматами магазинов, включая супермаркеты «Магнит Семейный», магазины у дома «Магнит у дома», аптеки «Магнит Косметик» и дискаунтеры «Магнит». По состоянию на 2023 год сеть насчитывает более 27 000 торговых точек по всей стране. «Магнит» активно внедряет цифровые технологии, включая мобильное приложение с функцией самокасса, систему лояльности и онлайн-доставку через сервис «Магнит Свежий». Компания владеет собственной логистической инфраструктурой, включая распределительные центры и парк транспорта. В последние годы «Магнит» делает акцент на развитии private label, расширении ассортимента свежих продуктов и укреплении позиций в онлайн-сегменте. Стратегия компании направлена на повышение доступности товаров для покупателей при сохранении высокого качества обслуживания.",1994,"Краснодар, Россия",32+,Розничная торговля / Продуктовый ритейл,Евгений Случевский,https://magnit.ru
MGNZ,"ОАО «Соликамский магниевый завод» (СМЗ) — единственный в России и один из крупнейших в мире производителей магния и его соединений. Предприятие, основанное в 1936 году, играет стратегическую роль в отечественной металлургии и оборонной промышленности. Завод специализируется на полном цикле производства магния: от добычи карналлитовой руды на местных месторождениях до выпуска высокочистого металлического магния (99,8-99,95%), магниевых сплавов и химических соединений. СМЗ обеспечивает около 2% мирового производства магния. Основные потребители продукции — авиационная, автомобильная, химическая промышленность и ВПК. В последние годы завод модернизировал производство, внедрив энергосберегающие технологии и увеличив мощность до 35 тыс. тонн магния в год. Особое внимание уделяется экологической безопасности: реализована система замкнутого водооборота и утилизации отходов. СМЗ входит в структуру «Корпорации ВСМПО-АВИСМА» — мирового лидера в производстве титана и магния.",1936,"Соликамск, Пермский край, Россия","2,660+",Металлургия / Цветная металлургия,Руслан Рафкатович,https://www.smz.avisma.ru
MGTS,"ПАО «Московская городская телефонная сеть» (МГТС) — ведущий телекоммуникационный оператор Москвы и Московской области, входящий в группу ПАО «Ростелеком». Компания предоставляет полный спектр современных цифровых услуг: широкополосный доступ в интернет (до 1 Гбит/с), IP-телевидение (более 300 каналов), мобильную связь (на базе сети Tele2 Россия), облачные сервисы и умные решения для дома (видеонаблюдение, охранная сигнализация, умный дом). МГТС обладает одной из самых развитых в регионе волоконно-оптических сетей (GPON), охватывающей более 5 млн домохозяйств. В 2021 году компания завершила цифровую трансформацию, полностью переведя абонентов с аналоговой телефонии на IP-технологии. Особое внимание уделяется корпоративному сегменту — услугам облачной АТС, видеоконференцсвязи и кибербезопасности для бизнеса. МГТС активно участвует в реализации государственной программы «Цифровая экономика», развивая инфраструктуру для умного города.",1882,"Москва, Россия","5,760+",Телекоммуникации,Гильманов Альберт,https://mgts.ru
MGTSP,"ПАО «Московская городская телефонная сеть» (МГТСP, прив. акции) — ведущий телекоммуникационный оператор Москвы и Московской области, входящий в группу ПАО «Ростелеком». Компания предоставляет полный спектр современных цифровых услуг: широкополосный доступ в интернет (до 1 Гбит/с), IP-телевидение (более 300 каналов), мобильную связь (на базе сети Tele2 Россия), облачные сервисы и умные решения для дома (видеонаблюдение, охранная сигнализация, умный дом). МГТС обладает одной из самых развитых в регионе волоконно-оптических сетей (GPON), охватывающей более 5 млн домохозяйств. В 2021 году компания завершила цифровую трансформацию, полностью переведя абонентов с аналоговой телефонии на IP-технологии. Особое внимание уделяется корпоративному сегменту — услугам облачной АТС, видеоконференцсвязи и кибербезопасности для бизнеса. МГТС активно участвует в реализации государственной программы «Цифровая экономика», развивая инфраструктуру для умного города.",1882,"Москва, Россия","5,760+",Телекоммуникации,Гильманов Альберт,https://mgts.ru
MISB,"ПАО «ТНС энерго Марий Эл» — энергосбытовая компания, осуществляющая деятельность на территории Республики Марий Эл. Является дочерним обществом ПАО «ТНС энерго» — одной из крупнейших энергосбытовых групп России. Компания занимается поставкой электроэнергии конечным потребителям, включая население, промышленные предприятия и организации бюджетной сферы. Обслуживает более 300 тысяч абонентов. Основные направления деятельности: расчеты за электроэнергию, работа с населением по вопросам энергосбережения, внедрение интеллектуальных систем учета электроэнергии (АИИС КУЭ). Компания активно участвует в социальных программах региона, реализует проекты по цифровизации услуг (личный кабинет, мобильное приложение) и повышению энергоэффективности. Входит в число надежных поставщиков электроэнергии в Приволжском федеральном округе, регулярно занимая высокие места в рейтингах качества обслуживания потребителей.",2005,"Йошкар-Ола, Россия",236+,Электроэнергетика / Энергосбыт,Парамонов Александр,https://mr.mrsk-1.ru
MISBP,"ПАО «ТНС энерго Марий Эл» (прив. акции) — энергосбытовая компания, осуществляющая деятельность на территории Республики Марий Эл. Является дочерним обществом ПАО «ТНС энерго» — одной из крупнейших энергосбытовых групп России. Компания занимается поставкой электроэнергии конечным потребителям, включая население, промышленные предприятия и организации бюджетной сферы. Обслуживает более 300 тысяч абонентов. Основные направления деятельности: расчеты за электроэнергию, работа с населением по вопросам энергосбережения, внедрение интеллектуальных систем учета электроэнергии (АИИС КУЭ). Компания активно участвует в социальных программах региона, реализует проекты по цифровизации услуг (личный кабинет, мобильное приложение) и повышению энергоэффективности. Входит в число надежных поставщиков электроэнергии в Приволжском федеральном округе, регулярно занимая высокие места в рейтингах качества обслуживания потребителей.",2005,"Йошкар-Ола, Россия",236+,Электроэнергетика / Энергосбыт,Парамонов Александр,https://mr.mrsk-1.ru
MOEX,"ПАО «Московская Биржа» — ведущая российская биржевая группа, объединяющая торговые площадки по валютам, акциям, облигациям, деривативам, товарам и инструментам денежного рынка. Крупнейшая биржевая группа в России, на долю которой приходится около 90% всего биржевого оборота страны. Оператор ключевых рыночных индексов, включая индекс МосБиржи и РТС. В 2023 году биржа вошла в топ-20 крупнейших бирж мира по капитализации. Предоставляет полный цикл услуг: от торговли и клиринга до депозитарных и технологических решений. Особое внимание уделяется развитию цифровых финансовых активов (ЦФА) и ESG-инструментов. В структуру группы входят: Московская биржа, Национальный клиринговый центр, Национальный расчетный депозитарий и другие дочерние компании. Играет системообразующую роль в российской финансовой системе, обеспечивая ликвидность и стабильность рынка даже в условиях санкционного давления.",1992,"Москва, Россия",370+,Биржевая инфраструктура,Виктор Жидков,https://www.moex.com
MRKC,"ПАО «Россети Центр» — одна из крупнейших распределительных электросетевых компаний России, осуществляющая передачу и распределение электроэнергии на территории 11 регионов Центрального федерального округа. Компания обслуживает более 2,5 млн потребителей, включая промышленные предприятия, объекты инфраструктуры и население. В зону ответственности входит более 270 тыс. км линий электропередачи и 56 тыс. подстанций различного класса напряжения. Ключевые направления деятельности: обеспечение надежного энергоснабжения, цифровизация сетевого комплекса (внедрение «цифровых РЭС»), реализация программы технологического присоединения. Компания активно модернизирует инфраструктуру, ежегодно инвестируя в реконструкцию и строительство новых энергообъектов. Входит в группу компаний «Россети» — крупнейшего электросетевого холдинга страны. Особое внимание уделяется повышению качества обслуживания потребителей и развитию smart-grid технологий в рамках концепции «Цифровая трансформация 2030».",2004,"Москва, Россия","30,500+",Электроэнергетика,Эбзеев Борис,https://www.mrsk-1.ru
MRKK,"ПАО «Россети Северный Кавказ» — крупнейшая электросетевая компания Северо-Кавказского федерального округа, обеспечивающая передачу и распределение электроэнергии на территории 7 субъектов РФ (Ставропольский край, республики Дагестан, Ингушетия, Кабардино-Балкария, Карачаево-Черкесия, Северная Осетия-Алания и Чеченская Республика). Компания обслуживает более 3,5 млн потребителей, эксплуатируя свыше 100 тыс. км линий электропередачи и более 30 тыс. подстанций. Особое внимание уделяется модернизации изношенной сетевой инфраструктуры региона (уровень износа достигает 60%) и цифровой трансформации (внедрение «умных сетей»). В рамках государственной программы реализует масштабные проекты по обеспечению энергобезопасности и снижению потерь в электросетях. Компания активно участвует в социально-экономическом развитии Северного Кавказа, обеспечивая энергоснабжение новых промышленных и туристических объектов. Входит в группу компаний «Россети» — национального электросетевого холдинга. В последние годы значительно улучшила показатели надежности энергоснабжения в сложных горных условиях региона.",2006,"Пятигорск, Россия","16,600+",Электроэнергетика,Левченко Роман,https://www.mrsk-sk.ru
MRKP,"ПАО «Россети Центр и Приволжье» — крупнейшая электросетевая компания в Центральной России и Приволжье, обеспечивающая передачу и распределение электроэнергии на территории 11 регионов. Компания обслуживает более 14 млн потребителей, включая промышленные предприятия, объекты инфраструктуры и население. В зону ответственности входит более 270 тыс. км линий электропередачи и свыше 1,5 тыс. подстанций 35-220 кВ. Компания активно реализует программу цифровой трансформации, внедряя технологии «умных сетей» (Smart Grid) и автоматизированные системы управления сетями. Особое внимание уделяется повышению надежности энергоснабжения и снижению потерь в электросетях. В рамках инвестиционной программы ежегодно модернизируется и строится более 1000 км линий электропередачи. Компания входит в группу «Россети» — национального электросетевого холдинга. В последние годы активно развивает сервисы для потребителей, включая личные кабинеты и мобильные приложения для удобного управления энергопотреблением.",2007,"Нижний Новгород, Россия","22,000+",Электроэнергетика,Эбзеев Борис,https://www.mrsk-cp.ru
MRKS,"ПАО «Россети Сибирь» – крупнейшая электросетевая компания Сибирского федерального округа, обеспечивающая передачу и распределение электроэнергии на территории 7 регионов: Алтайский край, Республика Алтай, Республика Бурятия, Иркутская область, Кемеровская область, Красноярский край и Республика Хакасия. Компания обслуживает более 3 млн потребителей, эксплуатируя свыше 200 тыс. км линий электропередачи и более 50 тыс. подстанций различного класса напряжения. Особое внимание уделяется модернизации энергообъектов в условиях экстремальных климатических условий Сибири и цифровой трансформации сетевого комплекса. Компания реализует масштабные проекты по технологическому присоединению новых потребителей, включая крупные промышленные предприятия и объекты инфраструктуры. Входит в группу компаний «Россети» – национального электросетевого холдинга. В последние годы значительно улучшила показатели надежности энергоснабжения, внедрив современные системы диагностики и мониторинга сетевого оборудования.",2005,"Красноярск, Россия","19,900+",Электроэнергетика,Дьячков Антон,https://www.mrsk-sib.ru
MRKU,"ПАО «МРСК Урала» (входит в группу «Россети») — крупнейшая электросетевая компания Уральского федерального округа, осуществляющая передачу и распределение электроэнергии на территории Свердловской, Челябинской областей и Пермского края. Компания обслуживает более 3 млн потребителей, включая ключевые промышленные предприятия Уральского региона. Эксплуатирует более 180 тыс. км линий электропередачи и свыше 40 тыс. подстанций различного класса напряжения. Особое внимание уделяется модернизации сетевой инфраструктуры в условиях высокой концентрации энергоемких производств и сложных климатических условий. Компания реализует масштабную программу цифровизации, внедряя интеллектуальные системы учета электроэнергии и технологии «умных сетей». В рамках инвестиционной программы ежегодно реконструируется и строится более 1000 км линий электропередачи. Активно участвует в развитии промышленной инфраструктуры Урала, обеспечивая энергоснабжение новых производственных объектов. Входит в перечень системообразующих организаций российской энергетики.",2005,"Екатеринбург, Россия","15,000+",Электроэнергетика,Воденников Дмитрий,https://www.mrsk-ural.ru
MRKV,"ПАО «МРСК Волги» (входит в группу «Россети») — крупная электросетевая компания, осуществляющая передачу и распределение электроэнергии на территории 6 регионов Приволжского федерального округа: Республика Мордовия, Пензенская область, Самарская область, Саратовская область, Ульяновская область и Чувашская Республика. Компания обслуживает более 2,5 млн потребителей, эксплуатируя свыше 150 тыс. км линий электропередачи и более 30 тыс. подстанций различного класса напряжения. Особое внимание уделяется модернизации изношенной сетевой инфраструктуры и цифровой трансформации (внедрение интеллектуальных систем учета электроэнергии и технологий «умных сетей»). Компания активно участвует в реализации государственных программ по развитию энергетической инфраструктуры региона, включая технологическое присоединение новых потребителей. В последние годы значительно улучшила показатели надежности энергоснабжения, внедрив современные системы мониторинга и диагностики сетевого оборудования. Является важным элементом энергосистемы Приволжского региона, обеспечивающим стабильное энергоснабжение промышленных предприятий и населения.",2007,"Саратов, Россия","22,700+",Электроэнергетика,Гаврилов Александр,https://www.mrsk-volgi.ru
MRKY,"ПАО «Россети Юг» — крупнейшая электросетевая компания Южного федерального округа, обеспечивающая передачу и распределение электроэнергии на территории 6 субъектов РФ: Республики Адыгея, Астраханской области, Волгоградской области, Республики Калмыкия, Краснодарского края и Ростовской области. Компания обслуживает более 4 млн потребителей, эксплуатируя свыше 200 тыс. км линий электропередачи и более 40 тыс. подстанций. Особое внимание уделяется развитию курортной энергетики в Краснодарском крае и обеспечению надежного энергоснабжения сельскохозяйственных регионов. В рамках цифровой трансформации внедряются технологии «умных сетей», системы автоматизированного управления и интеллектуального учета электроэнергии. Компания активно участвует в реализации государственных программ по развитию энергетической инфраструктуры Юга России, включая проекты по электроснабжению новых курортных зон и промышленных объектов. Входит в группу компаний «Россети» — национального электросетевого холдинга. В последние годы значительно улучшила показатели надежности энергоснабжения, несмотря на сложные климатические условия региона.",2007,"Ростов-на-Дону, Россия","13,500+",Электроэнергетика,Рыбин Алексей,https://www.mrsk-yuga.ru
MRKZ,"ПАО «Межрегиональная распределительная сетевая компания Северо-Запада» (МРСК Северо-Запада) — одна из крупнейших электросетевых компаний России, входящая в группу «Россети». Компания осуществляет передачу и распределение электроэнергии на территории семи субъектов Северо-Западного федерального округа: Республика Карелия, Республика Коми, Архангельская, Вологодская, Мурманская, Новгородская и Псковская области. Общая протяженность линий электропередачи превышает 270 тыс. км, а число подстанций — более 60 тыс. единиц. МРСК Северо-Запада обслуживает более 3,5 млн потребителей, включая промышленные предприятия, жилой сектор и инфраструктурные объекты. Компания активно модернизирует сети, внедряет цифровые технологии (например, «умные» счетчики) и участвует в программах энергосбережения. В 2023 году выручка компании составила свыше 90 млрд рублей. МРСК Северо-Запада играет ключевую роль в обеспечении надежности энергоснабжения удаленных и труднодоступных регионов Севера.",2004,"Санкт-Петербург, Россия","13,290+",Электроэнергетика,Артём Пидник,https://www.mrsksevzap.ru
MRSB,"ПАО «Мордовэнергосбыт» - гарантирующий поставщик электроэнергии на территории Республики Мордовия, занимающий ключевую позицию в энергоснабжении региона. Компания осуществляет полный комплекс услуг по продаже электроэнергии населению, предприятиям и бюджетным организациям, обслуживая более 400 тысяч потребителей. Входит в структуру ПАО «ТНС энерго», одного из крупнейших энергосбытовых холдингов России. Особое внимание уделяет цифровизации услуг: внедрена система онлайн-оплаты, личные кабинеты потребителей и автоматизированные системы учета электроэнергии. Компания активно участвует в социальных программах региона, реализует проекты энергосбережения и поддерживает льготные категории потребителей. По итогам 2022 года объем реализованной электроэнергии составил около 3,5 млрд кВт·ч. «Мордовэнергосбыт» играет важную роль в социально-экономическом развитии Республики, обеспечивая стабильное и качественное энергоснабжение.",2005,"Саранск, Республика Мордовия, Россия",390+,Энергосбытовая деятельность,Лялькин Виталий,https://www.mrsk-cp.ru
MSNG,"ПАО «Мосэнерго» — одна из крупнейших генерирующих компаний России и ключевой поставщик тепловой и электрической энергии для Москвы и Московской области. Компания входит в структуру ПАО «Газпром энергохолдинг» и обладает мощностью более 12 ГВт, что составляет около 10% от общей установленной мощности ЕЭС России. «Мосэнерго» эксплуатирует 15 электростанций, включая знаменитую ТЭЦ-20 им. Классона — одну из старейших действующих электростанций страны (введена в 1907 году). Компания обеспечивает около 60% теплоснабжения Москвы, используя современные парогазовые технологии с КПД до 60%. В 2023 году выработка электроэнергии превысила 50 млрд кВт·ч. «Мосэнерго» активно модернизирует оборудование, снижая экологическую нагрузку (выбросы сокращены на 40% за последние 10 лет), и развивает возобновляемую энергетику (проекты по использованию биотоплива). Акции компании входят в первый уровень листинга Московской биржи, капитализация превышает 200 млрд рублей.",1887,"Москва, Россия","8,600+",Электроэнергетика,Александр Бутко,https://www.mosenergo.ru
MSRS,"ПАО «Россети Московский регион» (ранее МОЭСК) - крупнейшая распределительная сетевая компания России, обеспечивающая электроснабжение Москвы и Московской области. Компания обслуживает территорию площадью более 47 тыс. км² с населением свыше 20 млн человек, управляя сетями протяженностью около 600 тыс. км. В зоне ответственности компании находятся более 300 тыс. трансформаторных подстанций и распределительных пунктов. «Россети Московский регион» обеспечивают надежное энергоснабжение таких стратегически важных объектов, как аэропорты, метрополитен, медицинские учреждения и правительственные здания. Компания активно внедряет цифровые технологии, включая систему «умных сетей» (Smart Grid), и реализует масштабную программу модернизации сетевого хозяйства. В 2023 году инвестиции в развитие сетей превысили 50 млрд рублей. Компания входит в группу «Россети» и играет ключевую роль в обеспечении энергетической безопасности столичного региона.",2005,"Москва, Россия","15,250+",Электроэнергетика,Владимир Мясников,https://www.moesk.ru
MSTT,"ПАО «Мостотрест» — одна из ведущих российских специализированных строительных компаний, осуществляющая полный цикл работ в области мостостроения и транспортной инфраструктуры. Компания основана в 1930 году и за свою историю построила более 5000 мостовых сооружений по всей России и за рубежом. «Мостотрест» участвует в реализации ключевых инфраструктурных проектов страны, включая строительство Крымского моста, мостового перехода через Волгу в Саратове, реконструкцию Байкальского тоннеля БАМа. Компания обладает уникальными компетенциями в строительстве сложных инженерных сооружений в труднодоступных регионах и сейсмоопасных зонах. В портфеле текущих проектов — строительство мостовых переходов для высокоскоростной магистрали Москва-Казань. «Мостотрест» входит в структуру ГК «Автодор» и активно внедряет инновационные технологии, включая BIM-моделирование и применение композитных материалов. В 2023 году выручка компании составила более 120 млрд рублей.",1930,"Москва, Россия","16,000+",Машиностроение и транспорт,Чибышев Евгений,https://www.mostotrest.ru
MTLR,"ПАО «Мечел» — одна из ведущих российских горнодобывающих и металлургических компаний с вертикально-интегрированной структурой, объединяющей предприятия по добыче угля, производству железорудного концентрата, стали, проката и ферросплавов. Основанная в 2003 году, компания владеет активами в 11 регионах России, включая такие ключевые производства как Челябинский металлургический комбинат, Белорецкий металлургический комбинат и Эльгинский угольный комплекс — один из крупнейших в мире по запасам коксующегося угля. «Мечел» занимает значительную долю на рынке специальных сталей для машиностроения, судостроения и энергетики, а также является крупным экспортером угля в страны АТР. В 2023 году компания произвела около 5 млн тонн стали и 20 млн тонн угля. Несмотря на долговую нагрузку, «Мечел» продолжает модернизацию производств и развитие Эльгинского месторождения, которое содержит свыше 2,2 млрд тонн угольных запасов. Компания играет важную социально-экономическую роль в регионах присутствия, обеспечивая занятость для более чем 60 тысяч человек.",2003,"Москва, Россия","52,850+",Горнодобывающая и металлургическая промышленность,Олег Коржов,https://www.mechel.ru
